phrase:  Здравствуйте чего вы пожелаете; class:  [['greeting', 0.9933744129826692]]; time:  15.980324506759644
phrase:  чтобы вам предоставить меню; class:  [['greeting', 0.5095699883977187]]; time:  21.920533418655396
phrase:  бюджет меню; class:  [['greeting', 0.5095699883977187]]; time:  27.346543788909912
phrase:  Вот ваше меню; class:  [['greeting', 0.8165002570844193]]; time:  32.26178812980652
phrase:  Вот и ваше меню; class:  [['greeting', 0.8165002570844193]]; time:  40.55710530281067
phrase:  вот ваш счёт; class:  [['service', 0.9959461400890308]]; time:  45.16323184967041
phrase:  чтобы Закажите; class:  []; time:  58.988056659698486
phrase:  выходите оформить депозит; class:  [['bank', 0.9961942204421134]]; time:  71.99148869514465
phrase:  пополнить ваш счёт; class:  [['bank', 0.8093685456305341], ['service', 0.24878106692879318]]; time:  88.89000797271729
phrase:  Ну вот и всё; class:  [['greeting', 0.3992672747339322], ['goodbye', 0.25151410987997486]]; time:  96.70795798301697
phrase:  Привет; class:  []; time:  80.44570922851562
phrase:  Как дела; class:  []; time:  88.02183413505554
phrase:  Здравствуй; class:  []; time:  91.50485444068909
phrase:  кредит; class:  [['bank', 0.9965142380670028]]; time:  105.94131207466125
phrase:  счёт ваш счёт счёт счёт; class:  [['service', 0.992947563902543]]; time:  156.93233442306519
phrase:  держите; class:  [['service', 0.9895082524817672]]; time:  169.32842993736267
phrase:  так вот; class:  [['goodbye', 0.2918901487170511], ['greeting', 0.21377273678007722]]; time:  175.36950159072876
phrase:  вот ваш счёт; class:  [['service', 0.9959255827424986]]; time:  187.55449056625366
phrase:  в командировке был когда 10000; class:  [['greeting', 0.9898704549163937]]; time:  15.848523616790771
phrase:  вот иду я; class:  [['service', 0.7959087129255128]]; time:  22.504255294799805
phrase:  ВТБ24; class:  [['greeting', 0.9898704549163937]]; time:  50.931474685668945
phrase:  Mitsubishi; class:  [['greeting', 0.9898704549163937]]; time:  73.60597491264343
phrase:  город Чудово; class:  [['greeting', 0.9898704549163937]]; time:  100.12703776359558
phrase:  договор на наем куда показывает канал нифига не выключается от России до Италии Сколько километров до 2030 и обратно туда и обратно; class:  [['goodbye', 0.7474733659268934], ['greeting', 0.2585718836022483]]; time:  136.37183904647827
phrase:  Я видел вирус; class:  [['greeting', 0.5925775937166333], ['service', 0.401403360225955]]; time:  145.6672008037567
phrase:  922 Саша; class:  [['greeting', 0.9898704549163937]]; time:  155.38059163093567
phrase:  США; class:  [['greeting', 0.9898704549163937]]; time:  165.34872841835022
phrase:  ой-ой-ой; class:  [['greeting', 0.9898704549163937]]; time:  182.55239868164062
phrase:  DNS мясищев не трогай ничего; class:  [['greeting', 0.9898704549163937]]; time:  221.15607929229736
phrase:  ты не смейся; class:  [['greeting', 0.9898704549163937]]; time:  228.42936158180237
phrase:  полигиния выяснил; class:  [['greeting', 0.9898704549163937]]; time:  237.85128736495972
phrase:  запись; class:  [['goodbye', 0.9904200236667137]]; time:  19.732699394226074
phrase:  до свидания; class:  [['goodbye', 0.9395992757431226], ['service', 0.6611437047524517]]; time:  28.628925561904907
phrase:  это искусственный интеллект позволяет вот-вот вас чек; class:  [['goodbye', 0.9999404067542366]]; time:  53.04276084899902
phrase:  iPhone; class:  [['goodbye', 0.9904200236667137]]; time:  58.097965478897095
phrase:  книга; class:  [['goodbye', 0.9904200236667137]]; time:  100.07273697853088
phrase:  эти девочки; class:  [['goodbye', 0.9904200236667137]]; time:  125.7399218082428
phrase:  ламирина зонтиком; class:  [['goodbye', 0.9904200236667137]]; time:  203.73001408576965
phrase:  куда поворачивать здания; class:  [['goodbye', 0.9904200236667137]]; time:  214.2777180671692
phrase:  Привет; class:  [['greeting', 0.9904200236667137]]; time:  9.800798654556274
phrase:  Здравствуй; class:  [['greeting', 0.9904200236667137]]; time:  14.412206172943115
phrase:  что вы пожелаете; class:  [['greeting', 0.8632862810639841], ['bank', 0.8445020237246009]]; time:  20.992332220077515
phrase:  вот насчёт; class:  [['greeting', 0.9999698926198138]]; time:  41.98273587226868
phrase:  вот вообще; class:  [['greeting', 0.9999698926198138]]; time:  47.92036843299866
phrase:  вот ваш счёт держите ваш чек; class:  [['service', 0.8956805856867142]]; time:  69.94079279899597
phrase:  заплачены взнос по ипотеке; class:  [['bank', 0.9971438492616479]]; time:  19.462374687194824
phrase:  вы оплачивали взнос по ипотеке; class:  [['bank', 0.9959983406747257]]; time:  28.986535787582397
phrase:  выводы сравним Прятки в хронологической сроки банку; class:  []; time:  50.79704260826111
phrase:  Когда Вы оплатите Когда Вы оплатите Когда Вы оплатите; class:  [['greeting', 0.2463328915645029]]; time:  78.85517477989197
phrase:  Здравствуйте; class:  ['greeting']; time:  125.10488414764404
phrase:  здоровый в ответ как дела; class:  []; time:  152.1387860774994
phrase:  здоровый WhatsApp Как дела; class:  []; time:  160.1268253326416
phrase:  дорогой! Я же не говорю WhatsApp Меня зовут; class:  []; time:  186.85999727249146
phrase:  президент; class:  []; time:  201.2909529209137
phrase:  президент Спасибо за комплимент; class:  ['goodbye']; time:  212.04334163665771
phrase:  Goodbye; class:  []; time:  223.6138575077057
phrase:  смотреть когда скучно было приятно близнецом откуда Ты откуда ты; class:  []; time:  260.47844648361206
